ticker,fiscal_quarter,period_end,revpar_yoy_pct,source_url
MAR,Q2 2026,2026-06-30,3.4,https://marriott.gcs-web.com/node/37511/pdf
HLT,Q1 2019,2019-03-31,1.8,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2019/q1-2019-earnings-release.pdf
HLT,Q2 2019,2019-06-30,1.4,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2019/q2-2019-earnings-release.pdf
HLT,Q3 2019,2019-09-30,0.4,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2019/q3-2019-earnings-release.pdf
HLT,Q4 2019,2019-12-31,-1.0,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2019/q4-2019-earnings-release.pdf
HLT,Q1 2020,2020-03-31,-22.6,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2020/q1-2020-earnings-release.pdf
HLT,Q2 2020,2020-06-30,-81.0,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2020/q2-2020-earnings-release.pdf
HLT,Q3 2020,2020-09-30,-59.9,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2020/q3-2020-earnings-release.pdf
HLT,Q4 2020,2020-12-31,-59.2,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2020/q4-2020-earnings-release.pdf
HLT,Q1 2021,2021-03-31,-38.4,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2021/q1-2021-earnings-release.pdf
HLT,Q2 2021,2021-06-30,233.8,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2021/q2-2021-earnings-release.pdf
HLT,Q3 2021,2021-09-30,98.7,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2021/q3-2021-earnings-release.pdf
HLT,Q4 2021,2021-12-31,104.2,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2021/q4-2021-earnings-release.pdf
HLT,Q1 2022,2022-03-31,80.5,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2022/q1-2022-earnings-release.pdf
HLT,Q2 2022,2022-06-30,54.3,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2022/q2-2022-earnings-release.pdf
HLT,Q3 2022,2022-09-30,29.9,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2022/q3-2022-earnings-release.pdf
HLT,Q4 2022,2022-12-31,24.8,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2023/q4-2022-earnings-release.pdf
HLT,Q1 2023,2023-03-31,30.0,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2023/q1-2023-earnings-release.pdf
HLT,Q2 2023,2023-06-30,12.1,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2023/q2-2023-earnings-release.pdf
HLT,Q3 2023,2023-09-30,6.8,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2023/q3-2023-earnings-release.pdf
HLT,Q4 2023,2023-12-31,5.7,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2024/q4-2023-earnings-release.pdf
HLT,Q1 2024,2024-03-31,2.0,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2024/q1-2024-earnings-release.pdf
HLT,Q2 2024,2024-06-30,3.5,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2024/q2-2024-earnings-release.pdf
HLT,Q3 2024,2024-09-30,1.4,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2024/q3-2024-earnings-release.pdf
HLT,Q4 2024,2024-12-31,3.5,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2025/q4-2024-earnings-release.pdf
HLT,Q1 2025,2025-03-31,2.5,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2025/q1-2025-earnings-release.pdf
HLT,Q2 2025,2025-06-30,-0.5,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2025/q2-2025-earnings-release.pdf
HLT,Q3 2025,2025-09-30,-1.1,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2025/q3-2025-earnings-release.pdf
HLT,Q4 2025,2025-12-31,0.5,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2025/q4-2025-earnings-release.pdf
HLT,Q1 2026,2026-03-31,3.6,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2026/q1-2026-earnings-release.pdf
HLT,Q2 2026,2026-06-30,3.9,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/quarterly-results/2026/q2-2026-earnings-release-hlt.pdf
H,Q1 2019,2019-03-31,1.8,https://s203.q4cdn.com/249399152/files/doc_news/2019/05/FINAL-Q1-2019-Earnings-Release.pdf
H,Q2 2019,2019-06-30,1.3,https://www.sec.gov/Archives/edgar/data/1468174/000146817419000086/q22019earningsrelease.htm
H,Q3 2019,2019-09-30,0.0,https://www.sec.gov/Archives/edgar/data/1468174/000146817419000109/q32019earningsrelease.htm
H,Q4 2019,2019-12-31,-0.5,https://s203.q4cdn.com/249399152/files/doc_events/2020/Q4-2019-Earnings-Release.pdf
